FECHA;LUGAR;ZONA;RUTA;DESAPARECIDO;MUERTO;NOTA;FUENTE;FUENTE2;FUENTE3
01/03/2023;Frontera Argelia - Marruecos;Marruecos;Melilla;0;10;AMDH Nador reporta la muerte de 9 personas en 2 meses durante las deportaciones de Marruecos a Argelia.;;https://cutt.ly/Tw1cORQf;
06/03/2023;Yerada - Marruecos;Marruecos;Melilla;0;6;AMDH Nador reporta la muerte de 6 hombres de origen subsahariano en la provincia de Yerada por las condiciones de vida.;;https://cutt.ly/Kw1cO33O;
06/02/2023;Ceuta;Ceuta;Ceuta;0;1;fallece un joven yemení en su intento de cruzar a Ceuta a nado.;;https://cutt.ly/Dw1cPeGM;
06/03/2023;Melilla;Melilla;Melilla;0;1;AMDH reporta la muerte de un hombre cuando intentaba acceder a Melilla.;;https://cutt.ly/Bw1cPalu;
07/02/2023;Nador;Marruecos;Alborán;0;1;AMDH Nador reporta la muerte de un joven marroquí cuando intentaba acceder a Melilla a nado.;https://cutt.ly/Ew1cPlHq;https://cutt.ly/kw1cPDYA;
08/02/2023;Lanzarote;Canarias;Canarias;0;8;Mueren 8 personas en el naufragio de una embarcación con destino a Tenerife. 7 fueron perdiendo la vida durante la travesía.;https://cutt.ly/zw1cPVCg;https://cutt.ly/Mw1cP9Me;
08/02/2023;Ceuta;Ceuta;Ceuta;0;1;Entierran el cuerpo de Mohamed El Khamlichi, de Rincón, desaparecido en el naufragio de una patera en El Sarchal el pasado 24 de enero.;;https://cutt.ly/vw1cVnjG;
08/02/2023;Ceuta;Ceuta;Ceuta;0;1;Entierran el cuerpo de Youssef Elkadi. Natural de Castillejos y fallecido en el naufragio de una patera en El Sarchal el 24 de enero.;;https://cutt.ly/fw1cVAEt;
12/02/2023;Tenerife;Canarias;Canarias;0;6;6 personas pierden la vida durante la travesía de una patera en la que sobrevivieron 23 con destino a Tenerife. Fallecieron 4 hombres y 1 mujer de origen subsahariano.;https://cutt.ly/uw1cVBgz;https://cutt.ly/Gw1cV8BG*;
14/02/2023;;;Canarias;70;0;Caminando Fronteras reporta la muerte de 70 personas de 2 naufragios en la ruta de Canarias. Entre las víctimas hay 12 menores de edad.;https://cutt.ly/nw1cBaaJ;https://cutt.ly/3w1cBvKH;
20/02/2023;;Marruecos;Alborán;0;1;Aparece el cuerpo de un hombre magrebí en la ruta de Alborán. No se tienen más datos.;;https://cutt.ly/qw1cBOaS*;
22/02/2023;Ceuta;Ceuta;Ceuta;0;1;Aparece el cuerpo de un hombre de origen sirio en la playa de El Sarchal. Se llamaba Abdulah.;https://cutt.ly/Zw1cB00o;https://cutt.ly/iw1cB5W1;
01/03/2023;Argelia;Argelia;Alborán;0;9;AMDH reporta la muerte de 9 personas en la frontera de Marruecos con Argelia.;;https://cutt.ly/xw1cNkXy;
01/03/2023;Dajla - Sáhara;Sahara;Canarias;0;1;Autoridades encuentran el cuerpo de un hombre en las costas de Lakraya (Dajla).;;https://cutt.ly/kw1cNROV*;
18/03/2023;Melilla;Marruecos;Alborán;0;1;Fallece un hombre en la frontera de Melilla esperando a cruzar la frontera.;;https://cutt.ly/Iw1cNGhi;
21/03/2023;Dajla - Sáhara;Sahara;Canarias;26;12;Naufraga una patera con 62 personas que salieron de TanTan. Marruecos rescata 45 personas con vida. 19 personas han fallecido (entre ellas 11 hombres, 7 mujeres y 1 niña).;;https://cutt.ly/Xw1cNVQ2;
22/03/2023;Ceuta;Ceuta;Ceuta;0;1;Aparece el cuerpo de un chico de 18 años procedente de Guinea Conakri en la Playa de Benítez. Era residente del CETI.;;https://cutt.ly/Vw1cN9Vk;
23/03/2023;Alicante;Levante;Levante;11;4;Pescadores encuentran los cuerpos de 4 personas que pertenecen a una patera de Alicante.;"https://cutt.ly/8w1c1dVP
https://cutt.ly/xw1c1xHZ";;
01/04/2023;Cartagena;Levante;Levante;0;4;Durante la travesía 4 personas fallecen en una embarcación y son arrojadas al mar. Entre ellas hay una mujer, dos jóvenes y una menor.;"https://cutt.ly/iw1c1GXe
https://cutt.ly/Iw1c1BwT";;
03/04/2023;Marruecos;Ceuta;Ceuta;1;0;AMDH Nador reporta la desaparición de un joven sudanés durante el acceso a Ceuta por el vallado fronterizo.;https://cutt.ly/Ow1c0ROT;;
11/04/2023;Marruecos;Marruecos;Canarias;0;11;Naufraga una patera y fallecen 11 personas. Entre ellas una madre y su hijo.;"https://cutt.ly/tw1c0KAx*
https://cutt.ly/hw1c2wU0";;
18/04/2023;Nador;Marruecos;Alborán;0;3;AMDH reporta la muerte de 3 hombres de origen subsahariano durante el intento de acceso a Melilla a través del vallado fronterizo.;https://cutt.ly/Zw1c2dBX;;
20/04/2023;Tarfaya - Marruecos;Marruecos;Canarias;0;19;Naufraga una patera con 62 personas que salieron de TanTan. Marruecos rescata 45 personas con vida. 19 personas han fallecido (entre ellas 11 hombres, 7 mujeres y 1 niña).;https://cutt.ly/zw1c2cEd;;
21/04/2023;Nador;Marruecos;Alborán;0;1;AMDH reporta la muerte de un joven subsahariano que falleció al saltar del tren de Rabat a Nador.;https://cutt.ly/tw1c2RVs;;
22/04/2023;Almería;Almería;Alborán;0;2;2 personas fueron arrojadas por la borda durante la travesía. SM rescató a las otras 18 personas y traslado a Almería.;https://cutt.ly/8w1c2Mfe;;
25/04/2023;Almería;Almería;Alborán;0;1;AMDH reporta que la GC recupera el cuerpo de un hombre en Almería. Se estima que falleció entre el 5 y el 9 de septiembre de 2022.;https://cutt.ly/sw1c24Ul;;
26/04/2023;Sjirat - Marruecos;Marruecos;Estrecho;6;0;Familiares alertan de la desaparición de al menos 6 personas que salieron de Sijrat hacia Ceuta.;https://cutt.ly/2w1c9twM;;
26/04/2023;Argelia;Argelia;Alborán;17;0;AMDH reporta la desaparición de 17 hombres de origen sirio que salieron de Ain Temousthint en Argelia.;https://cutt.ly/2w1c9zEg;;
28/04/2023;Nador;Marruecos;Alborán;2;0;AMDH reporta la desaparición de 2 jóvenes, Lhadi boutahar y Mohamed Zaalouki., cuando intentaron acceder a Melilla a nado.;https://cutt.ly/ww1vI4la;;
01/05/2023;Nador;Marruecos;Alborán;0;1;Fallece un joven de 17 años al intentar cruzar la frontera de Beni Enzar escondido como polizón en un camión.;https://cutt.ly/Mw1vOjCj;;
02/05/2023;Alicante;Levante;Levante;0;1;Encuentran el cuerpo de un hombre de origen norteafricano en las costas de Alicante (Playa de las Higuericas).;https://cutt.ly/Hw1vOT6U;;
02/06/2023;Argelia-Orán;Argelia;Alborán;1;0;La asociación SOS Desaparecidos alerta de la desaparición de Anar Fekir en la zona marítima de Orán - Argelia.;https://cutt.ly/1w1vONZ3;;
04/05/2023;Marruecos - Rabat;Marruecos;Estrecho;24;4;AMDH reporta la desaparición de 28 personas (entre ellos una madre y sus dos hijos (un niño y una niña) que salieron de cerca de Rabat. No se tienen noticias de ninguna de estas personas.;https://cutt.ly/fw1vPtfW;;
15/05/2023;Chiker-Nador;Marruecos;Alborán;13;0;AMDH reporta el naufragio una patera con 13 personas de origen marroquí en las costas de Nador.;https://cutt.ly/7w1vPzBX;;
16/05/2023;Ceuta;Ceuta;Ceuta;0;1;Aparece el cuerpo de un joven de unos 20 años con traje de neopreno en aguas del puerto de Ceuta.;;https://cutt.ly/hw1vPYYN;
16/05/2023;Ceuta;Ceuta;Ceuta;0;1;Aparece el cuerpo de un joven con traje de neopreno en el Muelle España - Ceuta.;;https://cutt.ly/pw1vPXzh;
18/05/2023;Ruta;Argelia;Alborán;14;0;14 hombres de origen argelino se encuentran desaparecidos desde la salida del 8/5 en una patera desde Argelia.;;https://cutt.ly/Pw1vP3NE;
26/05/2023;Nador;Marruecos;Alborán;0;1;AMDH reporta la aparición del cuerpo de un joven subsahariano o sudanés en las playas de Nador.;;https://cutt.ly/Bw1vAEn5;
26/05/2023;Nador;Marruecos;Alborán;0;1;AMDH reporta la aparición del cuerpo de un joven procedente de Etiopía en las playas de Nador. Pertenece al naufragio del 15 de mayo.;;https://cutt.ly/qw1vAV7D;
26/05/2023;Canarias;Canarias;Canarias;0;4;4 personas pierden la vida en el trayecto hacia Canarias supuestamente por los disparos de la gendarmería marroquí. Entre ellos un chico de Mali y tres de Guinea.;;"https://cutt.ly/Kw1vSjk9
https://cutt.ly/4w1vSPFp";
26/05/2023;Marruecos - Finideq;Marruecos;Estrecho;0;1;Unos pescadores de Castillejos encuentran el cuerpo de Mohamed, de 20 años, el 25 de mayo. Salió del 5 de mayo a nado.;;https://cutt.ly/ow1vDeUW;
26/05/2023;Lanzarote;Canarias;Canarias;0;2;Fallen 2 hombres durante la travesía de esta patera por disparos de la gendarmería marroquí.;;https://cutt.ly/ew1vDY4h;
03/06/2023;Argelia;Argelia;Alborán;1;0;Desde el 25 de mayo se encuentra desaparecido Ashram, un joven argelino de 16 años en la ruta de Alborán.;;https://cutt.ly/8w1vDL3w;
04/06/2023;Ceuta;Ceuta;Ceuta;0;1;GC y SM recuperan el cadáver de un joven marroquí a unas 12 millas de Ceuta.;;https://cutt.ly/0w1vD7be;
05/06/2023;Argelia;Argelia;Alborán;14;6;Más de 20 personas de origen sirio pierden la vida en el naufragio de una patera en las costas de Tipazza (Argelia). Se han recuperado 6 cadáveres entre ellos una mujer y una niña, el resto hombres. 1 superviviente de Siria.;;https://cutt.ly/hw1vFhgK*;
05/06/2023;;;Alborán;35;0;Alarm Phone reporta la desaparición de una patera con 35 personas en el mar de Alborán.;;https://cutt.ly/Aw1vFEJh;
07/06/2023;Tipazza - Argelia;Argelia;Alborán;0;2;Naufraga una patera en las costas de Argelia con 22 personas de origen sirio. 2 pierden la vida y fueron rescatados por Protección Civil Marítima en Tipazza. Los cuerpos fueron trasladados al puerto de Cherchell.;;https://cutt.ly/Xw1vFKVH*;
08/06/2023;Tipazza - Argelia;Argelia;Alborán;0;8;Unidad de protección civil de Cherchel transportó 8 cuerpos -5 hombres, 3 mujeres y 2 menores- al puerto de la ciudad.;;https://cutt.ly/Dw1vF2g1*;
09/06/2023;Almería;Almería;Alborán;0;2;Fallecen ahogados dos hombres en Adra al intentar llegar a la costa desde la patera en la que viajaban.;;https://cutt.ly/ww1vGrvG;
11/06/2023;Tipazza - Argelia;Argelia;Alborán;0;2;Aparecen dos cadáveres en las aguas de Tipazza. La Unidad Marítima de Protección civil los trasladó al puerto de Cherchel.;;https://cutt.ly/3w1vGkpd*;
13/06/2023;Canarias;Canarias;Canarias;2;0;Mueren 2 personas durante el rescate de 52 personas en el Atlántico.;;https://cutt.ly/lw1vGI6G;
13/06/2023;Alicante;Levante;Levante;0;1;Pescadores de Xàbia encuentran el cuerpo de una persona atrapado en sus redes.;;https://cutt.ly/lw1nwwBw;
20/06/2023;Lanzarote;Canarias;Canarias;0;1;Encuentran a una mujer embarazada fallecida de entre las 52 rescatadas en una patera y trasladadas a Lanzarote.;;https://cutt.ly/Mw1nwfve;
20/06/2023;Marruecos;Marruecos;Estrecho;2;1;Encuentran el cuerpo de uno de los chicos desaparecidos. Abdenour Rifi, de 25 años, Oussama Chepot de 24 y Achraf Driouich de 21 habían salido el fin de semana del 10 y 11 de junio desde Marruecos.;https://cutt.ly/Uw1nwxHS;;
20/06/2023;Senegal;Senegal;Canarias;140;0;Naufraga un cayuco en las costas de Senegal con 160 personas. Sólo 20 supervivientes.;https://cutt.ly/mw1nwWrw;;
21/06/2023;Marruecos;Marruecos;Canarias;37;1;Fallecen 37 personas en el naufragio de una patera en Cabo Bojador. 24 supervivientes.;"https://cutt.ly/tw1nwC7b
https://cutt.ly/aw1nw7xj";;
26/06/2023;Marruecos - Agadir;Marruecos;Canarias;50;0;Alarm Phone reporta la desaparición de una patera con 50 personas que lleva más de 15 días desaparecida. También lo reporta la asociación AESV de Nador.;"https://cutt.ly/yw1ntP3s
https://cutt.ly/Iw1ntLRB*";;
26/05/2023;Nador;Marruecos;Alborán;0;2;AMDH Nador reporta que uno de los cuerpos de la morgue del hospital de nador pertenece a un hombre etíope de una embarcación que intentó acceder a Melilla y fue repelido por la Guardia Civil.;"https://cutt.ly/Gw1nt3ou
https://cutt.ly/Bw1nyqy3";;
19/06/2023;Argelia;Argelia;Levante;14;0;Desaparecen 14 personas en las costas de Argelia con rumbo a la península.;https://cutt.ly/1w1nydQz;;
30/06/2023;Alicante;Levante;Levante;0;1;Un pesquero encuentra un cadáver en avanzado estado de descomposición en aguas de Denia.;https://cutt.ly/Hw1nylRL;;
01/07/2023;Marruecos - TanTan;Marruecos;Canarias;51;0;Caminando Fronteras reporta la muerte de al menos 51 personas -entre ellas 11 mujeres y 3 menores- en la ruta de Canarias. Solo hay 4 supervivientes.;"https://cutt.ly/Dw1nyEIX
https://cutt.ly/Vw1nyPmb";;
02/07/2023;Tenerife;Canarias;Canarias;0;1;Una persona fallece en el rescate de una patera con 50 supervivientes en Tenerife.;https://cutt.ly/Qw1nyG2b;;
04/07/2023;Ceuta;Ceuta;Ceuta;2;1;Familiares buscan a Ayoub y Hamza, 16 y 20 años, en Ceuta. Otro compañero ha aparecido muerto en aguas de Marruecos.;https://cutt.ly/Pw1nyX2t;;
09/07/2023;Senegal;Senegal;Canarias;325;0;Caminando Fronteras reporta la desaparición de 325 personas que salieron de Senegal en 3 cayucos -65,60 y 200- de los que no se sabe nada desde el 27 de junio.;"https://cutt.ly/7w1ny1cS
https://cutt.ly/kw1ny5Q4";;
10/07/2023;Alicante;Levante;Levante;0;1;Aparece el cuerpo de un hombre en avanzado estado de descomposición en las playas de Denia. Con este son 10 los cuerpos encontrados que pertenecen a la patera naufragada en marzo.;https://cutt.ly/2w1nuyuy;;
10/07/2023;Ceuta;Ceuta;Ceuta;1;0;Familiares buscan a Marouane Sbai de 15 años, desaparecido en Ceuta mientras intentaba cruzar a nado.;https://cutt.ly/sw1nusIK;;
11/07/2023;Argelia;Argelia;Alborán;4;0;SM rescata patera con 11 supervivientes. 4 personas desaparecieron durante la travesía.;https://cutt.ly/Lw1nuQAz*;;
12/07/2023;Senegal;Senegal;Canarias;22;6;Autoridades de Senegal reportan la muerte de 6 personas en el río Senegal tras el naufragio de un cayuco cerca de Saint Louis. OIM Senegal reporta la muerte de 22 personas;"https://cutt.ly/Ew1nuHuL
https://cutt.ly/Cw1nuB3k";;
12/07/2023;Denia;Levante;Levante;0;1;GC rescata el cadáver de un hombre en avanzado estado de descomposición en aguas de Denia - Alicante.;https://cutt.ly/Xw1nitwK;;
13/07/2023;Saint Louis-Senegal;Senegal;Canarias;14;6;Tras el naufragio de una embarcación en Saint Louise se recuperaron los cuerpos de 6 personas. Viajaban alrededor de 70 personas y sobrevivieron solo 4.;https://cutt.ly/sw1niken;;
14/07/2023;Argelia;Argelia;Alborán;10;0;Naufraga una patera con 11 personas en aguas de Argelia. 1 solo superviviente. Se buscan a 4 personas, entre ellas 2 bebé y una mujer, de origen sirio y 6 hombres de origen argelino.;https://cutt.ly/ww1niR3c*;;
14/07/2023;Dajla - Sáhara;Sahara;Canarias;20;0;Caminando Fronteras reporta la muerte de 20 personas en las costas de Dajla. 40 supervivientes rescatados por Marruecos. 4 sirios, 6 argelinos.;"https://cutt.ly/0w1niAZN
https://cutt.ly/Rw1niMFD";;
17/07/2023;Almería;Almería;Alborán;3;0;SM busca a 4 personas desaparecidas de una patera en Cabo de Gata.;"https://cutt.ly/5w1nodbp
https://cutt.ly/Ww1nols8";;
18/07/2023;Tarragona;Levante;Levante;0;1;Encuentran el cuerpo de una niña de 8 meses, se llamaba Lilia, en las playas de Tarragona. Pertenece al naufragio de una patera en Mallorca del pasado 6 de abril.;https://cutt.ly/Rw1nomuF;;
20/07/2023;Ceuta;Ceuta;Ceuta;0;1;Geas de GC recuperan el cuerpo de un joven marroquí en la playa de la Ribera en Ceuta.;https://cutt.ly/7w1noFsy;;
20/07/2023;Marruecos;Marruecos;Canarias;5;13;Naufraga una patera en la que viajaban 63 personas. 13 cadáveres encontrados y 5 personas desaparecidas. Todas procedentes de Senegal.;https://cutt.ly/dw1noBpz;;
21/07/2023;Nador;Marruecos;Alborán;0;6;AMDH reporta la muerte de 6 personas tras el rescate de una embarcación que llegó a Motril con 39 supervivientes.;https://cutt.ly/Aw1no9W7;;
21/07/2023;Nador;Marruecos;Alborán;0;6;AMDH reporta la muerte de 6 personas tras la intervención de la gendarmería marroquí a una patera en la que viajaban 56 personas.;"https://cutt.ly/tw1npeIJ
https://cutt.ly/7w1najah";;
22/07/2023;Almería - Adra;Almería;Alborán;0;1;Localizan el cuerpo de un joven de 33 años de origen marroquí en Adra.;https://cutt.ly/3w1naTWw;;
24/07/2023;Tipazza - Argelia;Argelia;Alborán;0;1;Aparece el cuerpo de una mujer en la Playa de Sidi Bou Othman (Argelia).;https://cutt.ly/3w1naA2R;;
25/07/2023;Tipazza - Argelia;Argelia;Alborán;0;4;Aparecen 4 cuerpos en distintas playas de Argelia - Tipazza. 2 hombres, 1 mujer y un apersona con género sin identificar.;https://cutt.ly/Xw1naLef;;
25/07/2023;Gran Canaria;Canarias;Canarias;0;1;SM rescata patera con 83 personas que llevaba una semana a la deriva y encuentran el cuerpo de una persona fallecida.;https://cutt.ly/ow1na0xP;;
25/07/2023;Dajla - Sáhara;Sahara;Canarias;0;4;4 personas fallecen en el naufragio de una embarcación frente a las costas de Dajla. Entre ellas, una mujer. Todos procedentes de Kenytra.;https://cutt.ly/Bw1nsywi;;
25/07/2023;Senegal;Senegal;Canarias;55;0;Naufraga una patera en las costas de Senegal y deja 18 personas fallecidas. OIM Senegal reporta la desaparición además de 37 personas.;"https://cutt.ly/xw1nskv6
https://cutt.ly/5w1nsTo9";;
25/07/2023;Nador;Marruecos;Alborán;0;1;AMDH reporta la aparición de un cadáver en la morgue del hospital de Nador. Puede que sea el cuerpo de Ayub Al-Hijra, desaparecido hace 6 días al intentar entrar a nado a Melilla.;https://cutt.ly/lw1nhdYM;;
26/07/2023;Tipazza - Argelia;Argelia;Alborán;0;1;Los guardias costeros rescatan el cuerpo de un hombre en aguas de Tipazza en avanzadoestado de descomposición.;https://cutt.ly/Qw1nhc6L;;
27/07/2023;;Nador;Melilla;0;1;Cadáver encontrado en julio 2023. Búsqueda familiares para identificación;https://cutt.ly/Zw1nh3cw;;
28/07/2023;Nador;Marruecos;Alborán;1;0;AMDH reporta la desaparición de Omar Roqba, procedente de Nador y que intentó cruzar a nado.;https://cutt.ly/iw1njiOp;;
28/07/2023;Nador;Marruecos;Alborán;0;1;Encuentran el cuerpo de un hombre marroquí en la morgue del hospital de Nador tras la búsqueda por sus familiares de dos semanas. Falleció intentando entrar a Melilla a nado.;https://cutt.ly/Zw1njEvI;;
30/07/2023;Tenerife;Canarias;Canarias;0;1;Se rescata cayuco con 191 personas y una persona fallecida en Tenerife.;https://cutt.ly/Cw1njHP5;;
31/07/2023;Senegal;Senegal;Canarias;14;0;Caminando Fronteras reporta que según los supervivientes del naufragio rescatados por Marruecos el 28 de julio, 14 personas han perdido la vida.;https://cutt.ly/Tw1njXSg;;
31/07/2023;Senegal;Senegal;Canarias;100;0;Caminando Fronteras reporta que según los supervivientes del naufragio rescatados por Marruecos el 29 de julio, 100 personas habrían fallecido durante la travesía.;"https://cutt.ly/lw1nj3U1*
https://cutt.ly/Vw1nkiMz";;
31/07/2023;Tipazza - Argelia;Argelia;Alborán;0;1;Aparece un cuerpo en avanzado estado de descomposición en las aguas de Tipazza.;https://cutt.ly/aw1nlV6E*;;
01/08/2023;Denia;Levante;Levante;0;1;Un pesquero encuentra el cadáver de un hombre en las aguas de Denia.;https://cutt.ly/pw1nl32e;;
04/08/2023;Ceuta;Ceuta;Ceuta;0;1;GC recupera el cuerpo de un joven en la playa de Fuente Caballos - Ceuta.;https://cutt.ly/dw1nzrhl;;
06/08/2023;Tipazza - Argelia;Argelia;Alborán;0;1;Aparece el cuerpo en avanzado estado de descomposición de una persona en las costas de Tipazza-Argelia.;https://cutt.ly/gw1nzhpZ*;;
07/08/2023;Dajla - Sáhara;Sahara;Canarias;0;5;Autoridades marroquíes confirman el fallecimiento de 5 personas en el naufragio de una patera en la que fueron rescatados 193 supervivientes de un cayuco procedente de Senegal.;"https://cutt.ly/Ow1nzEOt
https://cutt.ly/Qw1nzZdQ";;
11/08/2023;Ceuta;Ceuta;Ceuta;1;0;AMDH Nador reporta la desaparición de Masoudi Hamza. Iba acompañado de 2 personas más que fueron detenidas por la GC.;https://cutt.ly/Iw1nz5Mf;;
14/08/2023;Cabo Verde;Cabo Verde;Canarias;53;10;Autoridades senegalesas deportan a los supervivientes del naufragio de un cayuco en elque viajaban 101 personas y llegó a Cabo Verde. Sólo 7 cuerpos recuperados.;"https://cutt.ly/7w1nxozA
https://cutt.ly/Dw1nxvur";;
15/08/2023;Tánger;Marruecos;Estrecho;0;2;Aparecen los cuerpos de 2 personas de origen subsahariano en las costas de Donabbou (Tánger).;https://cutt.ly/Sw1nxIQ8;;
15/08/2023;Argelia-Orán;Argelia;Alborán;2;0;2 jóvenes argelinos desaparecen en las costas de Orán. Ghafour Ilyes 17 años y Zahaf Houwari 17 años;https://cutt.ly/hw1nxLih;;
17/08/2023;Argelia-Tipazza;Argelia;Levante;2;1;Las personas rescatadas de esta patera relatan que viajaban 17 personas y que 2 personas han fallecido y 1 ha desaparecido cuando salieron de las costas de Tipazza en Argelia.;https://cutt.ly/aw1nx2Nx;;
20/08/2023;Ceuta;Ceuta;Ceuta;1;0;AMDH Nador reporta la desaparición de Moeen Hussein Abad Sharif, un hombre yemení desaparecido al intentar cruzar a Ceuta a nado.;https://cutt.ly/ow1ncpGw;;
24/08/2023;TanTan-Marruecos;Marruecos;Canarias;0;4;Aparecen en las costas de TanTan 4 cadáveres de 4 hombres de origen subsahariano.;https://cutt.ly/uw1nB8Iy;;
26/08/2023;Tipazza - Argelia;Argelia;Alborán;0;1;Aparece el cuerpo de una mujer en avanzado estado de descomposición en Tipazza - Argelia.;https://cutt.ly/bw1nNlCK*;;
25/08/2023;Argelia;Argelia;Levante;12;0;12 hombres están desaparecidos de una embarcación de Argelia desde el 25 de agosto.;https://cutt.ly/Pw1nNUSH;;
25/08/2023;Argelia-Orán;Argelia;Levante;9;1;Se halla el cuerpo de una persona en las costas de Orán el día 15 de septiembre. La embarcación naufragó en aguas internacionales y en ella iban 10 personas, entre ellas un menor de edad.;https://cutt.ly/cw1nNLK8;;
26/08/2023;;;Canarias;0;4;Fallecen 3 personas procedentes de Comores y una de Costa de Marfil en el naufragio de una patera que iba hacia Canarias.;https://cutt.ly/jw1nN3Bm;;
26/08/2023;Marruecos-Nador;Marruecos;Alborán;1;0;La familia de Anas Tamini reporta su desaparición en Nador (Marruecos).;https://cutt.ly/Uw1nMopF;;
26/08/2023;Argelia;Argelia;Levante;16;0;OIM recoge la desaparición de 16 personas en las costas de Argelia que iban con dirección a Baleares.;https://cutt.ly/2w1nMISC;;
27/08/2023;;;Canarias;46;0;Caminando Fronteras alerta de la desaparición de una patera con 46 personas. La alerta se activó el 11 de septiembre.;https://cutt.ly/cw1nM1Rn;;
28/08/2023;Conil;Cádiz;Estrecho;0;1;Una persona fallece y dos desaparecen en el desembarco de una patera en la playa de Fuente del Gallo - Conil;https://cutt.ly/0w1n1wzH*;;
28/08/2023;Fuerteventura;Canarias;Canarias;0;1;Según las personas que viajaban en la embarcación -55- arrojaron el cadáver de un compañero por la borda durante la travesía.;https://cutt.ly/Hw1n04cj;;
29/08/2023;Fuengirola - Málaga;Málaga;Estrecho;0;2;Aparecen dos cadáveres de dos hombres marroquíes en Fuengirola - Málaga.;https://cutt.ly/Lw1n2hKk;;
30/08/2023;Argelia;Argelia;Levante;0;1;AlarmPhone reporta la desaparición de 12 menores de origen argelino el 30 de agosto. Fueron rescatados, pero falleció uno de ellos.;https://cutt.ly/xw1n2U5s;;
01/09/2023;Mallorca;Baleares;Levante;1;1;Fallece un hombre durante la travesía y otra desaparece de una patera en la que viajaba junto a 13 personas más. Fueron rescatados por SM y trasladados a Mallorca.;https://cutt.ly/qw1n2Kx6;;
